AethLabs,,,,,,,,,,,,
Device ID = AE51-S4-655-1303,,,,,,,,,,,,
Application version = 2.1.1.0,,,,,,,,,,,,
Flow = 48 mlpm,,,,,,,,,,,,
TimeBase = 30 s,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Date(yyyy/MM/dd),Time,Ref,Sen,ATN,Flow,Temp,Status,Battery,BC,,,
7/10/14,14:22:00,866780,801366,7.847,49,34,0,100,1998,,,
7/10/14,14:22:30,866775,801291,7.856,48,34,0,100,2079,,,
7/10/14,14:23:00,866721,801173,7.864,48,34,0,100,2011,,,
7/10/14,14:23:30,866747,801128,7.873,49,34,0,100,1998,,,
7/10/14,14:24:00,866764,801074,7.881,48,34,0,100,2059,,,
7/10/14,14:24:30,866755,800996,7.89,48,34,0,100,2059,,,
7/10/14,14:25:00,866738,800910,7.899,48,34,0,100,2077,,,
7/10/14,14:25:30,866759,800860,7.907,48,34,0,100,2051,,,
7/10/14,14:26:00,866740,800769,7.917,49,34,0,100,2126,,,
7/10/14,14:26:30,866769,800727,7.925,49,34,0,100,1992,,,
7/10/14,14:27:00,866699,800594,7.934,48,34,0,100,2020,,,
7/10/14,14:27:30,866723,800548,7.942,49,34,0,100,1974,,,
7/10/14,14:28:00,866690,800450,7.951,49,34,0,100,1956,,,
7/10/14,14:28:30,866653,800351,7.959,49,34,0,100,1878,,,
7/10/14,14:29:00,866695,800322,7.967,49,34,0,100,1964,,,
7/10/14,14:29:30,866688,800249,7.976,49,34,0,100,1928,,,
7/10/14,14:30:00,866683,800179,7.984,48,34,0,100,1934,,,
7/10/14,14:30:30,866685,800114,7.992,48,34,0,100,1977,,,
7/10/14,14:31:00,866651,800016,8,49,34,0,100,1930,,,
7/10/14,14:31:30,866674,799983,8.007,49,34,0,100,1572,,,
7/10/14,14:32:00,866647,799882,8.017,48,34,0,100,2251,,,
7/10/14,14:32:30,866644,799792,8.028,48,34,0,100,2581,,,
7/10/14,14:33:00,866700,799764,8.038,48,34,0,100,2358,,,
7/10/14,14:33:30,866671,799642,8.05,48,34,0,100,2819,,,
7/10/14,14:34:00,866666,799537,8.062,48,34,0,100,2971,,,
