time [s],RR_interval_quality [NA](/api/datatype/1004/)
3694.2890625,129
3694.984375,1
3695.6640625,1
3696.3359375,1
3697.00390625,1
3697.66796875,1
3698.34375,1
3699.01953125,1
3699.68359375,1
3700.34375,1
3701.0234375,1
3701.71875,1
3702.4140625,1
3703.09375,1
3703.76953125,1
3704.44140625,1
3705.11328125,1
3705.78515625,1
3706.44140625,1
3707.09765625,1
3707.76953125,1
3708.46484375,1
3709.16796875,1
3709.8671875,1
3710.58203125,1
3711.265625,1
3712.046875,1
3712.75,1
3713.09765625,129
3713.43359375,129
3714.109375,1
3714.79296875,1
3715.4375,1
3716.109375,1
3716.6953125,1
3717.31640625,1
3717.92578125,1
3718.52734375,1
3719.125,1
3719.73046875,1
3720.33203125,1
3720.96484375,1
3721.59765625,1
3722.2734375,1
3722.93359375,1
3723.62109375,1
3724.3046875,1
3724.97265625,1
3725.578125,1
3726.33984375,1
3727.0078125,1
3727.671875,1
3728.33203125,1
3728.97265625,1
3729.6171875,1
3730.25,1
3730.796875,1
3731.58203125,1
3731.984375,129
3732.83203125,1
3733.5,1
3734.13671875,1
3734.83203125,1
3735.5390625,1
3736.25,1
3736.96484375,1
3737.67578125,1
3738.3515625,1
3739.01171875,1
3739.6640625,1
3740.30859375,1
3740.9140625,1
3741.51953125,1
3742.1328125,1
3742.7578125,1
3743.3828125,1
3744.03125,1
3744.71484375,1
3745.34375,1
3745.66015625,129
3746.1875,129
3746.51171875,129
3747.36328125,1
3748.1796875,1
3748.9921875,1
3749.76171875,1
3750.5,1
3751.1953125,1
3751.859375,1
3752.49609375,1
3753.125,1
3753.74609375,1
3754.36328125,1
3754.9765625,1
3755.6015625,1
3756.26171875,1
3756.95703125,1
3757.30078125,129
3757.671875,129
3758.3828125,1
3759.1328125,1
3759.84375,1
3760.56640625,1
3761.265625,1
3761.953125,1
3762.62109375,1
3763.27734375,1
3763.91015625,1
3764.54296875,1
3765.16796875,1
3765.8203125,1
3766.1640625,129
3766.484375,129
3766.83984375,129
3767.1484375,129
3767.8125,1
3768.1328125,129
3768.53125,129
3769.2578125,1
3769.98828125,1
3770.71484375,1
3771.421875,1
3772.11328125,1
3772.76953125,1
3773.43359375,1
3774.0859375,1
3774.74609375,1
3775.41015625,1
3776.09765625,1
3776.80078125,1
3777.51171875,1
3778.234375,1
3778.97265625,1
3779.71875,1
3780.4453125,1
3781.1796875,1
3781.91796875,1
3782.65625,1
3783.390625,1
3784.10546875,1
3784.80859375,1
3785.5234375,1
3786.21484375,1
3786.890625,1
3787.55859375,1
3788.22265625,1
3788.90234375,1
3789.5703125,1
3790.28125,1
3791.01953125,1
3791.77734375,1
3792.51171875,1
3793.2421875,1
3793.9765625,1
3794.7109375,1
3795.4296875,1
3796.109375,1
3796.78515625,1
3797.45703125,1
3798.109375,1
3798.765625,1
3799.3984375,1
3800.03515625,1
3800.4140625,129
3800.6953125,129
3801.39453125,1
3801.65625,129
3802.17578125,129
3802.9140625,1
3803.64453125,1
3804.390625,1
3804.64453125,129
3805.140625,129
3805.87109375,1
3806.56640625,1
3807.27734375,1
3807.9921875,1
3808.71484375,0
3809.4453125,0
3810.14453125,0
3810.86328125,0
3811.58203125,0
3812.30078125,0
3813.03125,0
3813.74609375,0
3814.48046875,0
3815.234375,0
3816.01171875,1
3816.76953125,1
3817.51953125,1
3818.28125,1
3819.046875,1
3819.8359375,1
3820.6015625,1
3821.39453125,1
3822.18359375,1
3822.9375,1
3823.65625,1
3824.37890625,1
3825.09765625,1
3825.80859375,1
3826.50390625,0
3827.22265625,0
3827.953125,0
3828.7578125,0
3829.5234375,0
3830.265625,0
3831.0078125,0
3831.7421875,0
3832.44921875,0
3833.1328125,0
3833.5390625,128
3833.83203125,128
3834.5390625,1
3835.21484375,1
3835.8671875,1
3836.515625,1
3837.16796875,1
3837.81640625,1
3838.48046875,1
3839.140625,1
3839.796875,1
3840.46484375,1
3841.14453125,1
3841.84765625,1
3842.578125,1
3843.30859375,1
3844.03515625,1
3844.74609375,1
3845.45703125,1
3846.15625,1
3846.86328125,1
3847.6015625,1
3847.98046875,129
3848.375,129
3849.15625,1
3849.90234375,1
3850.6796875,1
3851.421875,1
3852.15625,1
3852.87890625,1
3853.5859375,1
3854.27734375,1
3854.6640625,129
3854.93359375,129
3855.578125,1
3856.21875,1
3856.8671875,1
3857.5234375,1
3858.23046875,1
3858.96875,1
3859.7109375,1
3860.44140625,1
3861.1875,1
3861.89453125,1
3862.59765625,1
3863.26953125,1
3863.9453125,1
3864.63671875,1
3865.33984375,1
3866.0625,1
3866.80078125,1
3867.62109375,1
3868.4296875,1
3869.21484375,1
3869.984375,1
3870.75,1
3871.515625,1
3872.2734375,1
3872.98828125,1
3873.70703125,1
3874.4296875,1
3875.1484375,1
3875.859375,1
3876.5703125,0
3877.33203125,0
3878.1328125,0
3878.96875,0
3879.8125,0
3880.6953125,0
3881.5625,0
3882.3984375,0
3883.20703125,0
3883.9921875,0
3884.765625,0
3885.48828125,0
3886.21875,0
3886.97265625,0
3887.80078125,0
3888.63671875,1
3889.42578125,1
3890.28515625,1
3891.1015625,1
3891.90234375,1
3892.65625,1
3893.41015625,1
3894.16796875,1
3894.92578125,1
3895.66796875,1
3896.421875,1
3897.203125,1
3897.98828125,1
3898.77734375,1
3899.52734375,1
3900.28125,1
3901.02734375,1
3901.7890625,1
3902.54296875,1
3903.30078125,1
3904.0625,1
3904.83984375,1
3905.61328125,1
3906.3671875,1
3907.1328125,1
3907.90625,1
3908.67578125,1
3909.421875,1
3910.18359375,1
3910.94921875,1
3911.72265625,1
3912.48046875,1
3913.21875,1
3913.95703125,1
3914.6953125,1
3915.421875,1
3916.1171875,1
3916.515625,129
3916.8203125,129
3917.53515625,1
3917.87890625,129
3918.24609375,129
3918.9375,1
3919.6484375,1
3920.37109375,1
3921.1171875,1
3921.86328125,1
3922.62109375,1
3923.40625,1
