time [s],NN_interval [s/256](/api/datatype/318/)
18999.40234375,242
19000.28125,225
19001.15625,224
19002.99609375,233
19004.0859375,279
19007.5625,199
19009.2109375,216
19010.10546875,229
19010.953125,217
19011.85546875,231
19012.83984375,252
19013.828125,253
19015.66015625,243
19017.76953125,275
19018.765625,255
19019.91796875,295
19022.3203125,293
19024.703125,321
19030.73828125,296
19037.86328125,290
19038.921875,271
19039.9375,260
19045.3125,249
19047.33984375,257
19048.41796875,276
19050.6875,269
19052.76953125,278
19054.9375,256
19057.99609375,258
19058.921875,237
19059.9765625,270
19062.23046875,283
19064.390625,286
19069.84765625,233
19070.77734375,238
19071.77734375,256
19072.78125,257
19073.72265625,241
19075.4140625,218
19077.15234375,227
19078.06640625,234
19078.93359375,222
19079.86328125,238
19081.984375,278
19085.015625,253
19085.99609375,251
19086.88671875,228
19087.8359375,243
19089.8359375,255
19090.7734375,240
19091.72265625,243
19092.73046875,258
19093.79296875,272
19094.77734375,252
19095.8515625,275
19098.03125,274
19099.97265625,255
19102.15234375,273
19107.66796875,331
19110.1640625,313
19111.33984375,301
19112.3984375,271
19113.4765625,276
19115.65234375,279
19116.7109375,271
19117.78125,274
19118.8828125,282
19119.98828125,283
19120.9765625,253
19122.0390625,272
19124.25390625,285
19125.28515625,264
19126.35546875,274
19127.43359375,276
19128.4609375,263
19129.49609375,265
19130.51171875,260
19131.515625,257
19132.421875,232
19133.390625,248
19135.51953125,282
19136.46484375,242
19139.5,263
19140.43359375,239
19141.48046875,268
19143.55078125,249
19145.40625,243
19147.2578125,231
19148.2109375,244
19155.34765625,250
19157.4296875,278
19159.6171875,269
19161.6171875,258
19163.73828125,266
19164.80078125,272
19165.91796875,286
19166.98828125,274
19169.12890625,283
19171.3046875,263
19174.51171875,274
19175.5078125,255
19176.6015625,280
19178.76171875,273
19180.78125,271
19182.97265625,270
19185.0859375,278
19186.11328125,263
19188.1328125,271
19190.20703125,268
19191.2421875,265
19192.3671875,288
19193.48828125,287
19195.61328125,276
19196.71484375,282
19197.7578125,267
19199.68359375,246
19200.65234375,248
19201.67578125,262
19202.6015625,237
19203.63671875,265
19205.61328125,248
19206.578125,247
19207.55859375,251
19208.51953125,246
19209.4140625,229
19210.3359375,236
19212.25,240
19213.9296875,220
19216.8828125,245
19218.8515625,255
19219.828125,250
19220.69921875,223
19221.58203125,226
19223.41796875,244
19224.37109375,244
19225.44921875,276
19226.56640625,286
19227.703125,291
19228.796875,280
19230.01953125,313
19235.40234375,279
19236.40234375,256
19237.46484375,272
19239.51171875,256
19240.4296875,235
19241.4296875,256
19243.44921875,258
19244.45703125,258
19245.47265625,260
19246.51953125,268
19247.44140625,236
19249.27734375,259
19251.41015625,279
19252.45703125,268
19254.48046875,260
19255.57421875,280
19256.72265625,294
19257.7578125,265
19261.328125,295
19263.52734375,287
19265.703125,265
19266.8125,284
19269.0625,286
19270.1015625,266
19271.20703125,283
19273.296875,261
19274.29296875,255
19275.37890625,278
19277.4765625,265
19278.4453125,248
19279.3984375,244
19280.3671875,248
19281.2578125,228
19282.12890625,223
19283.09375,247
19285.22265625,264
19287.109375,241
19289.12109375,265
19290.0625,241
19291.94921875,242
19292.92578125,250
19293.84375,235
19294.80078125,245
19296.90625,266
19301.703125,240
19303.42578125,214
19304.265625,215
19305.1484375,226
19306.08984375,241
19307.01953125,238
19307.89453125,224
19308.77734375,226
19309.74609375,248
19311.99609375,269
19313.9296875,258
19315.98828125,268
19336.90234375,257
19340.3515625,307
19344.80078125,254
19348.1328125,291
19350.30078125,289
19352.546875,270
19354.578125,260
19355.53125,244
19356.47265625,241
19357.3671875,229
19358.3828125,260
19360.83203125,279
19362.87890625,265
19364.9375,260
19365.94921875,259
19367.09375,293
