time [s],inspiration_epoch [na] (/api/datatype/34/)
10886.00000000,16138
10887.00000000,16139
10892.00000000,16132
10897.00000000,16136
10898.00000000,16135
10901.00000000,16134
10903.00000000,16134
10904.00000000,16140
10905.00000000,16134
10907.00000000,16139
10910.00000000,16139
10911.00000000,16136
10917.00000000,16140
10920.00000000,16136
10927.00000000,16140
10934.00000000,16138
10939.00000000,16138
10942.00000000,16145
10948.00000000,16137
10952.00000000,16137
10954.00000000,16141
10957.00000000,16140
10961.00000000,16140
10964.00000000,16133
10966.00000000,16132
10968.00000000,16142
10970.00000000,16143
10972.00000000,16144
10974.00000000,16142
10982.00000000,16146
10986.00000000,16143
10988.00000000,16146
10991.00000000,16139
10998.00000000,16138
11004.00000000,16141
11006.00000000,16138
11009.00000000,16143
11010.00000000,16143
11014.00000000,16139
11016.00000000,16142
11020.00000000,16134
11024.00000000,16143
11026.00000000,16145
11028.00000000,16145
11029.00000000,16141
11031.00000000,16138
11032.00000000,16140
11034.00000000,16133
11036.00000000,16148
11040.00000000,16197
11042.00000000,16192
11045.00000000,16198
11047.00000000,16199
11050.00000000,16199
11053.00000000,16202
11056.00000000,16233
11060.00000000,16188
11064.00000000,16198
11065.00000000,16226
11069.00000000,16197
11072.00000000,16196
11075.00000000,16194
11077.00000000,16193
11082.00000000,16193
11087.00000000,16209
11091.00000000,16211
11106.00000000,16218
11113.00000000,16225
11115.00000000,16223
11127.00000000,16216
11135.00000000,16213
11139.00000000,16213
11149.00000000,16216
11153.00000000,16215
11156.00000000,16221
11167.00000000,16216
11173.00000000,16216
11177.00000000,16218
11184.00000000,16218
11187.00000000,16209
11194.00000000,16211
11210.00000000,16211
11217.00000000,16213
11221.00000000,16213
11226.00000000,16213
11240.00000000,16211
11255.00000000,16209
11268.00000000,16209
11282.00000000,16207
11299.00000000,16210
11343.00000000,16211
11361.00000000,16212
11374.00000000,16227
11391.00000000,16113
11397.00000000,16129
11405.00000000,16211
11416.00000000,16260
11426.00000000,16258
11433.00000000,16205
11445.00000000,16249
11452.00000000,16203
11465.00000000,16263
11484.00000000,16250
11510.00000000,16245
11519.00000000,16203
11529.00000000,16245
11537.00000000,16211
11547.00000000,16209
11569.00000000,16206
11589.00000000,16235
11594.00000000,16217
11615.00000000,16202
11637.00000000,16211
11673.00000000,16208
11691.00000000,16208
11709.00000000,16210
11717.00000000,16208
11737.00000000,16219
11765.00000000,16215
11803.00000000,16214
11814.00000000,16214
11832.00000000,16252
11840.00000000,16235
11846.00000000,16204
11851.00000000,16200
11856.00000000,16245
11862.00000000,16226
11873.00000000,16207
11880.00000000,16206
11884.00000000,16206
11888.00000000,16207
11890.00000000,16206
11894.00000000,16206
11896.00000000,16206
11899.00000000,16206
11902.00000000,16206
11905.00000000,16225
11911.00000000,16253
11919.00000000,16191
11927.00000000,16195
11931.00000000,16197
11935.00000000,16248
11949.00000000,16192
11956.00000000,16250
11963.00000000,16203
11973.00000000,16225
11980.00000000,16264
11993.00000000,16259
12001.00000000,16209
12006.00000000,16214
12013.00000000,16252
12024.00000000,16248
12039.00000000,16213
12047.00000000,16207
12051.00000000,16191
12055.00000000,16194
12058.00000000,16212
