time [s],heart_rate [bpm] (/api/datatype/19/)
28552.00000000,124
28553.00000000,124
28554.00000000,124
28555.00000000,124
28556.00000000,124
28557.00000000,124
28558.00000000,124
28559.00000000,124
28560.00000000,124
28561.00000000,124
28562.00000000,124
28563.00000000,124
28564.00000000,124
28565.00000000,124
28566.00000000,124
28567.00000000,124
28568.00000000,124
28569.00000000,124
28570.00000000,124
28571.00000000,124
28572.00000000,124
28573.00000000,124
28574.00000000,124
28575.00000000,124
28576.00000000,124
28577.00000000,124
28578.00000000,124
28579.00000000,124
28580.00000000,124
28581.00000000,124
28582.00000000,124
28583.00000000,124
28584.00000000,124
28585.00000000,124
28586.00000000,124
28587.00000000,124
28588.00000000,124
28589.00000000,124
28590.00000000,124
28591.00000000,124
28592.00000000,124
28593.00000000,124
28594.00000000,124
28595.00000000,124
28596.00000000,124
28597.00000000,124
28598.00000000,124
28599.00000000,124
28600.00000000,124
28601.00000000,124
28602.00000000,124
28603.00000000,124
28604.00000000,124
28605.00000000,124
28606.00000000,124
